/mocapdata/cdeng/mpii/test/020594864.jpg 64.4748012793 1,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/042367641.jpg 23.7065391823 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/066388984.jpg 9.43398113206 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/007091331.jpg 38.2099463491 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/033341800.jpg 47.1699056603 1,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/001779489.jpg 34.4818792991 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/074949551.jpg 35.3553390593 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/064069127.jpg 54.4885309033 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/006267213.jpg 22.2036033112 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/096473756.jpg 40.6078810085 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/002262156.jpg 38.5875627631 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/058996065.jpg 33.8378486314 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/077636746.jpg 10.0498756211 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/078789631.jpg 75.0066663704 0,0,0,0,1,0,1
/mocapdata/cdeng/mpii/test/003428514.jpg 30.4138126515 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/091845167.jpg 10.0 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/056139037.jpg 11.6619037897 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/048208320.jpg 34.8281495345 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/004486746.jpg 20.3960780544 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/056195414.jpg 38.8329756779 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/010140815.jpg 19.0 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/013295227.jpg 9.48683298051 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/013971019.jpg 41.4366987102 1,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/079396773.jpg 33.2415402772 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/061041120.jpg 16.2788205961 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/057495489.jpg 10.8166538264 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/068062393.jpg 25.495097568 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/033964532.jpg 14.8660687473 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/036195407.jpg 31.064449134 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/031427010.jpg 9.48683298051 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/071210893.jpg 29.0688837075 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/016164034.jpg 32.0156211872 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/001302528.jpg 36.1386219992 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/059619645.jpg 39.3573373083 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/060940792.jpg 21.400934559 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/078292165.jpg 31.6227766017 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/067279071.jpg 26.4764045897 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/049743665.jpg 36.0555127546 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/071839240.jpg 53.0094331228 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/033613048.jpg 30.4138126515 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/022372573.jpg 61.7170964968 0,1,0,0,0,1,0
/mocapdata/cdeng/mpii/test/045217296.jpg 55.8659108939 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/088506455.jpg 59.2030404625 0,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/034520710.jpg 67.6756972628 1,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/037446689.jpg 61.611687203 1,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/086036723.jpg 57.4282160614 1,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/051537433.jpg 64.2028036771 0,1,0,1,0,1,0
/mocapdata/cdeng/mpii/test/053544900.jpg 83.5463942968 1,0,0,0,0,1,1
/mocapdata/cdeng/mpii/test/039814928.jpg 14.5602197786 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/012032666.jpg 21.5406592285 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/060392828.jpg 48.3321838944 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/069367704.jpg 44.1021541424 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/038941354.jpg 41.2310562562 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/081524194.jpg 38.0131556175 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/068459605.jpg 36.0693775937 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/060054624.jpg 67.9117073854 1,0,0,0,0,0,1
/mocapdata/cdeng/mpii/test/013436961.jpg 72.2011080247 1,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/039121817.jpg 68.0955211449 1,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/097129491.jpg 30.8058436015 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/035113781.jpg 28.4604989415 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/086782791.jpg 55.1543289326 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/009321147.jpg 68.0 0,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/035095332.jpg 34.8281495345 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/072032021.jpg 68.6221538572 1,1,1,0,0,1,0
/mocapdata/cdeng/mpii/test/081111787.jpg 55.1543289326 1,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/013860150.jpg 76.5767588763 1,1,0,0,0,1,0
/mocapdata/cdeng/mpii/test/048682943.jpg 75.8221603491 1,1,0,0,0,1,0
/mocapdata/cdeng/mpii/test/024871568.jpg 70.2922470832 1,1,0,0,0,1,0
/mocapdata/cdeng/mpii/test/016810686.jpg 64.3506021728 1,1,0,0,0,1,0
/mocapdata/cdeng/mpii/test/073432531.jpg 104.957134107 1,1,1,1,1,1,1
/mocapdata/cdeng/mpii/test/053809694.jpg 70.6611633077 1,0,0,0,0,1,0
/mocapdata/cdeng/mpii/test/021618533.jpg 84.958813551 1,1,0,0,0,0,1
/mocapdata/cdeng/mpii/test/031000001.jpg 71.5052445629 1,1,0,0,0,1,0
/mocapdata/cdeng/mpii/test/096665367.jpg 72.1387551875 1,1,0,0,0,1,0
/mocapdata/cdeng/mpii/test/062380726.jpg 43.1393092202 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/031617805.jpg 25.2388589282 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/083020033.jpg 35.2278299076 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/077476421.jpg 27.8028775489 0,0,0,0,0,0,0
/mocapdata/cdeng/mpii/test/044851571.jpg 47.7074417675 0,0,0,0,0,0,0
